GEOID,land_use
01011,6
01019,6
01027,6
01029,6
01041,6
01057,6
01059,6
01063,6
01071,5
01109,5
01111,6
01129,6
05047,6
05059,5
05073,6
05117,6
05127,6
05141,6
09005,5
12007,6
12013,6
12027,5
12029,6
12059,6
12075,6
12077,6
12079,6
12133,6
13011,6
13019,6
13023,6
13037,6
13039,5
13049,6
13075,6
13093,6
13105,6
13123,6
13133,6
13187,6
13193,6
13233,5
13243,6
13263,6
13269,6
13307,6
13311,6
16011,5
16077,6
17041,6
17075,6
17087,6
17139,6
17141,5
17173,6
18025,6
18051,6
18055,6
18101,6
18121,6
18147,6
18155,6
18159,6
18181,6
19019,6
19171,6
21027,6
21043,6
21063,6
21127,6
21183,6
21187,6
21229,6
21233,6
21237,6
22003,6
22007,6
22021,6
22059,6
22081,6
22083,6
23027,6
24011,6
26005,5
26051,6
26067,5
26123,6
27065,6
27133,6
28031,6
28065,6
28077,6
28107,6
29055,6
29057,6
29061,6
29067,6
29131,6
29201,5
30065,6
31097,6
32017,6
32019,5
35039,5
36039,6
36049,6
36057,5
37007,6
37029,5
37047,6
37079,6
37085,5
37149,6
37175,5
37199,6
39067,6
39135,6
40097,6
42059,6
42061,5
42067,6
42115,6
42127,6
45005,6
45025,6
45027,6
45029,6
45043,5
45049,6
45061,6
46101,6
46121,6
47007,6
47067,6
47083,6
47121,6
47135,6
47151,6
47161,6
48035,6
48081,6
48095,6
48185,6
48217,6
48219,5
48239,6
48301,6
48365,6
48379,6
48407,6
48437,6
48467,6
48489,5
50001,6
51021,6
51049,6
51057,6
51097,6
51109,6
51113,6
51135,6
51137,6
51167,6
51181,6
53045,5
54001,6
54031,6
54035,6
54045,5
54065,6
54071,6
54073,6
54085,6
54087,6
54089,6
54091,5
54109,6
55121,6
55137,6
